Sl. No.,State/UT-wise,Number of Electric/Hybrid Vehicle (approx.)
1,Jammu & Kashmir,478
2,Punjab,6925
3,Haryana,25908
4,Chandigarh,2533
5,Delhi,20228
6,Rajasthan,17405
7,Madhya Pradesh,6979
8,Gujarat,31577
9,Maharashtra,36708
10,Dadra and Nagar Haveli,820
11,Telangana,9280
12,Goa,515
13,Karnataka,15526
14,Kerala,11394
15,Tamil Nadu,17901
16,Puducherry,835
17,Andhra Pradesh,10548
18,Odisha,4410
19,Chhattisgarh,4823
20,Andaman and Nicobar Islands,82
21,Jharkhand,1892
22,Tripura,86
23,Manipur,61
24,Nagaland,67
25,Assam,1908
26,Meghalaya,6
27,West Bengal,14775
28,Bihar,3700
29,Uttar Pradesh,28985
30,Uttarakhand,4534
31,Himachal Pradesh,98
Total,Total,280987
